"","text"
"1"," situation  autocracy   government  corrupt antidemocratic government     ha  happened  100   monopolies created  rockefeller carnegie    morgan  controlled america   chose  government      brake   companies   people killed  president   vicepresident  office  vicepresident fixed  situation  destroying  financial empires   bleeding  people   situation   living    joe biden   elected   people   corruption"
"2","  america  ruled  monopolies  highly  criminal business    blocking  development  personal computers amazon highly  criminal business   absorbed    commerce  america   multinationals producing  china google highly  criminal business   allied  amazon  participate   commerce  monopolizing  facebook highly  criminal business   controls    communications  people   companies    moment literally control  government  companies  joe biden   presidency    democratic party   congress     corrupt government"
"3","congratulations  president joy biden"
"4","congratulations  president joy boden"
"5","   worse   2016rip  "
"6","joe biden  fake president democratic party   electoral fraud party"
"7","crook  rob  "
"8"," devil   witch"
"9","lier cheater theif    president    president"
"10"," imitates obamas speech"
"11","joe biden"
"12","wow    hard   president  tech main stream media bias  helped  democrats  biden wins china wins america   america "
"13","biden tiene pinta  mafioso"
"14"," hail   gypsi"
"15","  joe biden       job      trump supporters   comments  lose  shit"
"16","usa      god<U+393C><U+3E32>s guidance  it<U+393C><U+3E32>s     righteous people  "
"17","lol  bad   voters  liberalsu0001f923u0001f923"
"18"," "
"19","  78yearold presidents     american history  health  age matter  national leadership positions   united "
"20"," trump"
"21","fraud"
"22","  nw  remaining  minutes       knw   vote  plize      country   generation  crying   motherland  dot hv  power  remove dat      ur   america u0001f64fu0001f64fu0001f64f"
"23","plize america  hv  supported  countries plize     generation  uganda   suffering jst   dat   museveni"
"24"," god iwish  country     america den     "
"25","kalama   vice president  joe biden  president  united  u0001f4afu0001f4afu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f922"
"26","   preeple  brhdh  ther dance140   thgkn  sssenator348 meelionsof uhmezricans sounds   speed rapper 824 america hercalled  "
"27","demented warmonger"
"28","   230   people   lost  loved     united   merica"
"29","sounds     exfelon        chance  achieve  dreams 20  trouble   college degree       suppression  society"
"30","dominion machinesusa u0001f1fau0001f1f8  shame   "
"31","u0001f339u0001f339u0001f339"
"32","       wikipeds biden   ears    hmmm     vaccine people wake "
"33","fuuuj"
"34","  illegitimate president    elected  yeah     cheating"
"35","ram ram ji u0001f64f"
"36","trump    admission        wwe"
"37"," wing watching dis  try<U+393C><U+3E32>s  assassinate   president"
"38","      extensive  inclusive voter fraud organization   history  american politics  joe biden"
"39","amercachoose   grandpa  president u0001f602u0001f62d"
"40"," royal rumble entrance "
"41","hitlerenglandsoviet russia  dominent   details  cento  "
"42","  joe biden familly   coruption affairs  whould      democracy     caligula style leaders latly  policies    ridiculous     term    woman    ridiculous      sodom   sexual orientations   family    people   sex irresponsibly   abort babies    build  nation   wow   roman empire     behavior   started  caligula    clinton loving  sex   style  rullership plunged rome   dark ages"
"43"," joe     dede  iam     president"
